listing_id,title,bhk,price,price_text,area_sqft,area_text,price_per_sqft,property_type,locality,address,url
78654131,1 BHK Apartment for Sale in Mansa Ram Park New Delhi,1,1100000.0,₹ 11 Lac,350.0,350 sqft,3142.8571428571427,,,,
62487709,3 BHK Builder Floor for Sale in Janakpuri New Delhi,3,33000000.0,₹ 3.30 Cr,1250.0,1250 sqft,26400.0,,,,
81103509,"3 BHK Apartment for Sale in Karuna Vihar Apartment, Sector 18 Dwarka New Delhi",3,31000000.0,₹ 3.10 Cr,1600.0,1600 sqft,19375.0,,Karuna Vihar Apartment,,
79171649,2 BHK Builder Floor for Sale in Mansarovar Park New Delhi,2,5000000.0,₹ 50 Lac,620.0,620 sqft,8064.5161290322585,,,,
52697381,2 BHK Apartment for Sale in Mundka New Delhi,2,3500000.0,₹ 35 Lac,750.0,750 sqft,4666.666666666667,,,,
78845049,"2 BHK Apartment for Sale in DDA LIG Flat Sector 16 Site II, Dwarka New Delhi",2,8500000.0,₹ 85 Lac,900.0,900 sqft,9444.444444444445,,DDA LIG Flat Sector 16 Site II,,
80882269,"3 BHK Apartment for Sale in Tulip Apartment, Deoli, Sangam Vihar New Delhi",3,12000000.0,₹ 1.20 Cr,999.0,999 sqft,12012.012012012012,,Tulip Apartment,,
70022137,5 BHK House for Sale in Vasant Vihar New Delhi,5,1000000000.0,₹ 100 Cr,9000.0,1000 sqyrd,111111.11111111111,,,,
81433579,"3 BHK Apartment for Sale in Sapna Ghar Apartments, Sector 11 Dwarka New Delhi",3,26800000.0,₹ 2.68 Cr,1650.0,1650 sqft,16242.424242424242,,Sapna Ghar Apartments,,
80194761,1 BHK Apartment for Sale in Block B Om Vihar New Delhi,1,1920000.0,₹ 19.2 Lac,410.0,410 sqft,4682.926829268293,,,,
80064821,3 BHK Builder Floor for Sale in Mohan Park West Rohtash Nagar New Delhi,3,11500000.0,₹ 1.15 Cr,1220.0,1220 sqft,9426.22950819672,,,,
72317465,"4 BHK Builder Floor for Sale in Aarone Botanica, Neeti Bagh New Delhi",4,320000000.0,₹ 32 Cr,7200.0,7200 sqft,44444.444444444445,,Aarone Botanica,,
81345037,"3 BHK Apartment for Sale in Satyam Apartment, Sector 18A Dwarka New Delhi",3,29500000.0,₹ 2.95 Cr,1750.0,1750 sqft,16857.14285714286,,Satyam Apartment,,
81221969,1 BHK Builder Floor for Sale in Subhash Park Extension 2 New Delhi,1,2030000.0,₹ 20.3 Lac,324.0,324 sqft,6265.432098765432,,,,
72783735,2 BHK Builder Floor for Sale in Uttam Nagar New Delhi,2,7500000.0,₹ 75 Lac,580.0,580 sqft,12931.034482758621,,,,
78667969,4 BHK Builder Floor for Sale in Block C Krishna Nagar New Delhi,4,26000000.0,₹ 2.60 Cr,1800.0,1800 sqft,14444.444444444445,,,,
